DATE|TEAM.1|TEAM.2|IS_HOST.1|IS_HOST.2|Y
1999-06-06|New Zealand|Zimbabwe|False|False|False
1999-06-13|Australia|South Africa|False|False|True
1999-05-23|Australia|Pakistan|False|False|False
1999-06-06|New Zealand|Zimbabwe|False|False|False
1999-06-13|Australia|South Africa|False|False|True
2001-06-17|England|Pakistan|True|False|False
2002-07-02|England|Sri Lanka|True|False|True
2003-07-01|England|Zimbabwe|True|False|False
2004-07-01|England|West Indies|True|False|True
2005-06-26|England|Bangladesh|True|False|True
2005-07-07|England|Australia|True|False|True
2006-07-01|England|Sri Lanka|True|False|False
2007-09-02|England|India|True|False|False
2008-08-22|England|South Africa|True|False|True
2009-05-21|England|West Indies|True|False|False
2010-09-12|England|Pakistan|True|False|True
2011-07-01|England|Sri Lanka|True|False|False
2012-06-22|England|West Indies|True|False|False
2013-09-06|England|Australia|True|False|False
2014-09-05|England|India|True|False|True
2015-09-11|England|Australia|True|False|True
2016-09-01|England|Pakistan|True|False|True
2017-05-24|England|South Africa|True|False|True
2018-07-17|England|India|True|False|True
1974-03-30|New Zealand|Australia|True|False|False
1975-03-08|New Zealand|England|True|False|False
1982-02-17|New Zealand|Australia|True|False|False
1983-03-02|New Zealand|Sri Lanka|True|False|True
1986-03-19|New Zealand|Australia|True|False|True
1987-03-18|New Zealand|West Indies|True|False|False
1988-03-09|New Zealand|England|True|False|False
1989-02-06|New Zealand|Pakistan|True|False|True
1990-03-01|New Zealand|India|True|False|True
1991-02-06|New Zealand|Sri Lanka|True|False|True
1992-02-12|New Zealand|England|True|False|False
1992-03-12|New Zealand|India|True|False|True
1993-03-19|New Zealand|Australia|True|False|False
1994-03-03|New Zealand|Pakistan|True|False|False
1995-02-22|Australia|India|False|False|False
1995-12-15|New Zealand|Pakistan|True|False|False
1999-02-14|New Zealand|South Africa|True|False|True
1992-03-12|New Zealand|India|True|False|True
2000-02-23|New Zealand|Australia|True|False|False
2001-02-28|New Zealand|Pakistan|True|False|True
2002-02-26|New Zealand|England|True|False|True
2004-02-25|New Zealand|South Africa|True|False|True
1974-08-31|England|Pakistan|True|False|False
1975-06-11|England|New Zealand|True|False|True
1975-06-14|Pakistan|Sri Lanka|False|False|True
1979-06-09|New Zealand|Sri Lanka|False|False|True
1979-06-13|Australia|Pakistan|False|False|False
1979-06-16|New Zealand|West Indies|False|False|False
1975-06-11|England|New Zealand|True|False|True
1975-06-14|Pakistan|Sri Lanka|False|False|True
1979-06-09|New Zealand|Sri Lanka|False|False|True
1979-06-13|Australia|Pakistan|False|False|False
1979-06-16|New Zealand|West Indies|False|False|False
1982-07-17|England|Pakistan|True|False|True
1983-06-09|Australia|Zimbabwe|False|False|False
1983-06-13|Australia|India|False|False|True
1983-06-20|New Zealand|Pakistan|False|False|False
1984-06-02|England|West Indies|True|False|True
1987-05-23|England|Pakistan|True|False|False
1989-05-27|England|Australia|True|False|False
1983-06-09|Australia|Zimbabwe|False|False|False
1983-06-13|Australia|India|False|False|True
1983-06-20|New Zealand|Pakistan|False|False|False
1990-07-20|England|India|True|False|False
1992-08-20|England|Pakistan|True|False|True
1995-05-24|England|West Indies|True|False|False
1996-09-01|England|Pakistan|True|False|False
1998-08-14|South Africa|Sri Lanka|False|False|False
1999-05-25|England|Zimbabwe|True|False|True
1999-06-05|Pakistan|South Africa|False|False|False
1999-06-12|India|New Zealand|False|False|False
1999-05-25|England|Zimbabwe|True|False|True
1999-06-05|Pakistan|South Africa|False|False|False
1999-06-12|India|New Zealand|False|False|False
2000-07-20|England|West Indies|True|False|False
2001-06-19|Australia|Pakistan|False|False|False
2002-06-27|England|Sri Lanka|True|False|True
2003-06-26|England|Zimbabwe|True|False|False
2004-06-27|England|West Indies|True|False|False
2004-09-01|England|India|True|False|True
2005-06-21|England|Bangladesh|True|False|True
2006-09-08|England|Pakistan|True|False|True
2007-07-07|England|West Indies|True|False|False
2008-08-26|England|South Africa|True|False|True
2009-09-15|England|Australia|True|False|False
2009-09-17|England|Australia|True|False|False
2010-07-08|England|Bangladesh|True|False|True
2011-07-06|England|Sri Lanka|True|False|True
2012-09-05|England|South Africa|True|False|False
2013-06-05|England|New Zealand|True|False|True
2014-08-30|England|India|True|False|False
2015-06-17|England|New Zealand|True|False|True
2016-06-21|England|Sri Lanka|True|False|False
2016-08-30|England|Pakistan|True|False|True
2017-09-21|England|West Indies|True|False|False
2018-06-19|England|Australia|True|False|True
2018-07-12|England|India|True|False|False
1975-03-09|New Zealand|England|True|False|False
1982-02-20|New Zealand|Australia|True|False|False
1983-02-23|New Zealand|England|True|False|True
1984-02-22|New Zealand|England|True|False|False
1986-03-26|New Zealand|Australia|True|False|False
1987-03-25|New Zealand|West Indies|True|False|False
1989-03-08|New Zealand|Pakistan|True|False|True
1990-03-06|New Zealand|India|True|False|False
1991-02-13|New Zealand|England|True|False|True
1992-03-02|South Africa|Sri Lanka|False|False|False
1992-03-10|India|West Indies|False|False|False
1992-03-15|New Zealand|England|True|False|True
1992-12-26|New Zealand|Pakistan|True|False|False
1993-03-24|New Zealand|Australia|True|False|True
1994-03-09|New Zealand|Pakistan|True|False|False
1994-03-30|New Zealand|India|True|False|False
1995-01-25|New Zealand|West Indies|True|False|False
1995-02-15|Australia|South Africa|False|False|True
1995-12-20|New Zealand|Pakistan|True|False|False
1996-01-31|New Zealand|Zimbabwe|True|False|True
1997-03-04|New Zealand|England|True|False|True
1997-03-27|New Zealand|Sri Lanka|True|False|True
1998-02-06|New Zealand|Zimbabwe|True|False|True
1998-02-10|New Zealand|Australia|True|False|False
1999-01-14|New Zealand|India|True|False|False
1999-01-15|New Zealand|India|True|False|False
1999-03-30|New Zealand|South Africa|True|False|False
1999-03-31|New Zealand|South Africa|True|False|False
1992-03-02|South Africa|Sri Lanka|False|False|False
1992-03-10|India|West Indies|False|False|False
1992-03-15|New Zealand|England|True|False|True
2005-03-01|New Zealand|Australia|True|False|False
2016-01-25|New Zealand|Pakistan|True|False|True
2018-01-06|New Zealand|Pakistan|True|False|True
2018-01-18|New Zealand|Pakistan|True|False|True
1975-12-20|Australia|West Indies|True|False|True
1980-01-16|England|West Indies|False|False|False
1980-11-23|Australia|New Zealand|True|False|False
1980-12-23|India|New Zealand|False|False|True
1981-12-05|Pakistan|West Indies|False|False|True
1981-12-06|Australia|Pakistan|True|False|True
1983-01-29|England|New Zealand|False|False|False
1983-01-30|Australia|England|True|False|False
1983-01-31|Australia|New Zealand|True|False|False
1984-01-28|Pakistan|West Indies|False|False|False
1984-01-29|Australia|West Indies|True|False|False
1984-01-30|Australia|Pakistan|True|False|True
1985-01-26|Sri Lanka|West Indies|False|False|False
1985-01-27|Australia|West Indies|True|False|False
1985-01-28|Australia|Sri Lanka|True|False|True
1986-01-25|India|New Zealand|False|False|True
1986-01-26|Australia|India|True|False|True
1986-01-27|Australia|New Zealand|True|False|False
1987-01-24|England|West Indies|False|False|True
1987-01-25|Australia|West Indies|True|False|False
1987-01-26|Australia|England|True|False|True
1988-01-09|New Zealand|Sri Lanka|False|False|True
1988-01-10|Australia|Sri Lanka|True|False|True
1988-12-10|Pakistan|West Indies|False|False|False
1988-12-11|Australia|Pakistan|True|False|True
1990-02-17|Pakistan|Sri Lanka|False|False|True
1990-02-18|Australia|Sri Lanka|True|False|True
1990-12-01|England|New Zealand|False|False|False
1990-12-02|Australia|New Zealand|True|False|True
1991-12-14|India|West Indies|False|False|True
1991-12-15|Australia|India|True|False|True
1992-03-01|England|Pakistan|False|False|False
1992-03-07|Australia|Sri Lanka|True|False|True
1992-03-15|India|South Africa|False|False|False
1992-12-12|Pakistan|West Indies|False|False|False
1992-12-13|Australia|Pakistan|True|False|True
1993-12-11|New Zealand|South Africa|False|False|False
1993-12-12|Australia|New Zealand|True|False|True
1995-12-15|Sri Lanka|West Indies|False|False|True
1995-12-17|Australia|West Indies|True|False|True
1996-12-15|Australia|Pakistan|True|False|False
1996-12-17|Pakistan|West Indies|False|False|False
1997-12-06|New Zealand|South Africa|False|False|True
1997-12-07|Australia|New Zealand|True|False|True
1999-01-23|England|Sri Lanka|False|False|False
1999-01-24|Australia|Sri Lanka|True|False|True
1999-01-26|Australia|England|True|False|True
1992-03-01|England|Pakistan|False|False|False
1992-03-07|Australia|Sri Lanka|True|False|True
1992-03-15|India|South Africa|False|False|False
2000-01-25|India|Pakistan|False|False|True
2000-01-26|Australia|India|True|False|True
2001-01-25|West Indies|Zimbabwe|False|False|True
2001-01-26|Australia|West Indies|True|False|True
2002-01-26|Australia|New Zealand|True|False|False
