DATE|COUNTRIES|GROUND|CITY|COUNTRY|TEAM.1|TEAM.2|WINNER|MARGIN
1982-03-12|Pakistan v. Sri Lanka|National Stadium|Karachi|Pakistan|Pakistan|Sri Lanka|Pakistan|8 wickets
1982-03-29|Pakistan v. Sri Lanka|Gaddafi Stadium|Lahore|Pakistan|Pakistan|Sri Lanka|Sri Lanka|30 runs
1982-03-31|Pakistan v. Sri Lanka|National Stadium|Karachi|Pakistan|Pakistan|Sri Lanka|Pakistan|5 wickets
1982-06-02|England v. India|Headingley|Leeds|England|England|India|England|9 wickets
1982-06-04|England v. India|Kennington Oval|London|England|England|India|England|114 runs
1982-07-17|England v. Pakistan|Trent Bridge|Nottingham|England|England|Pakistan|England|7 wickets
1982-07-19|England v. Pakistan|Old Trafford|Manchester|England|England|Pakistan|England|73 runs
1982-09-12|India v. Sri Lanka|Gandhi Sports Complex Ground|Amritsar|India|India|Sri Lanka|India|78 runs
1982-09-15|India v. Sri Lanka|Feroz Shah Kotla|Delhi|India|India|Sri Lanka|India|6 wickets
1982-09-20|Pakistan v. Australia|Niaz Stadium|Hyderabad (Sind)|Pakistan|Pakistan|Australia|Pakistan|59 runs
1982-09-26|India v. Sri Lanka|M Chinnaswamy Stadium|Bengaluru, Bangalore|India|India|Sri Lanka|India|6 wickets
1982-10-08|Pakistan v. Australia|Gaddafi Stadium|Lahore|Pakistan|Pakistan|Australia|Pakistan|28 runs
1982-12-03|Pakistan v. India|Jinnah Stadium (Gujwranwala)|Gujwranwala|Pakistan|Pakistan|India|Pakistan|14 runs
1982-12-17|Pakistan v. India|Ibn-e-Qasim Bagh Stadium|Multan|Pakistan|Pakistan|India|Pakistan|37 runs
1982-12-31|Pakistan v. India|Gaddafi Stadium|Lahore|Pakistan|Pakistan|India|India|18 runs
1983-01-09|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|Australia|8 wickets
1983-01-11|Australia v. England|Sydney Cricket Ground|Sydney|Australia|Australia|England|Australia|31 runs
1983-01-13|England v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|England|New Zealand|New Zealand|2 runs
1983-01-15|England v. New Zealand|Brisbane Cricket Ground|Brisbane|Australia|England|New Zealand|England|54 runs
1983-01-16|Australia v. England|Brisbane Cricket Ground|Brisbane|Australia|Australia|England|Australia|7 wickets
1983-01-18|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|New Zealand|47 runs
1983-01-20|England v. New Zealand|Sydney Cricket Ground|Sydney|Australia|England|New Zealand|England|8 wickets
1983-01-21|Pakistan v. India|National Stadium|Karachi|Pakistan|Pakistan|India|Pakistan|8 wickets
1983-01-22|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|New Zealand|58 runs
1983-01-23|Australia v. England|Melbourne Cricket Ground|Melbourne|Australia|Australia|England|Australia|5 wickets
1983-01-26|Australia v. England|Sydney Cricket Ground|Sydney|Australia|Australia|England|England|98 runs
1983-01-29|England v. New Zealand|Adelaide Oval|Adelaide|Australia|England|New Zealand|New Zealand|4 wickets
1983-01-30|Australia v. England|Adelaide Oval|Adelaide|Australia|Australia|England|England|14 runs
1983-01-31|Australia v. New Zealand|Adelaide Oval|Adelaide|Australia|Australia|New Zealand|New Zealand|47 runs
1983-02-05|England v. New Zealand|WACA Ground|Perth|Australia|England|New Zealand|New Zealand|7 wickets
1983-02-06|Australia v. New Zealand|WACA Ground|Perth|Australia|Australia|New Zealand|Australia|27 runs
1983-02-09|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|Australia|6 wickets
1983-02-13|Australia v. New Zealand|Melbourne Cricket Ground|Melbourne|Australia|Australia|New Zealand|Australia|149 runs
1983-02-19|New Zealand v. England|Eden Park|Auckland|New Zealand|New Zealand|England|New Zealand|6 wickets
1983-02-23|New Zealand v. England|Basin Reserve|Wellington|New Zealand|New Zealand|England|New Zealand|103 runs
1983-02-26|New Zealand v. England|AMI Stadium|Christchurch|New Zealand|New Zealand|England|New Zealand|84 runs
1983-03-02|New Zealand v. Sri Lanka|Carisbrook|Dunedin|New Zealand|New Zealand|Sri Lanka|New Zealand|65 runs
1983-03-09|West Indies v. India|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|India|West Indies|52 runs
1983-03-17|Australia v. New Zealand|Sydney Cricket Ground|Sydney|Australia|Australia|New Zealand|New Zealand|14 runs
1983-03-19|New Zealand v. Sri Lanka|McLean Park|Napier|New Zealand|New Zealand|Sri Lanka|New Zealand|7 wickets
1983-03-20|New Zealand v. Sri Lanka|Eden Park|Auckland|New Zealand|New Zealand|Sri Lanka|New Zealand|116 runs
1983-03-29|West Indies v. India|Albion Sports Complex|Albion, Berbice, Guyana|West Indies|West Indies|India|India|27 runs
1983-04-07|West Indies v. India|Queen's Park (Old)|St. George's, Grenada|West Indies|West Indies|India|West Indies|7 wickets
1983-04-13|Sri Lanka v. Australia|P Sara Oval|Colombo|Sri Lanka|Sri Lanka|Australia|Sri Lanka|2 wickets
1983-04-16|Sri Lanka v. Australia|P Sara Oval|Colombo|Sri Lanka|Sri Lanka|Australia|Sri Lanka|4 wickets
1983-06-09|England v. New Zealand|Kennington Oval|London|England|England|New Zealand|England|106 runs
1983-06-09|Pakistan v. Sri Lanka|St Helen's|Swansea|Wales|Pakistan|Sri Lanka|Pakistan|50 runs
1983-06-09|Australia v. Zimbabwe|Trent Bridge|Nottingham|England|Australia|Zimbabwe|Zimbabwe|13 runs
1983-06-09|India v. West Indies|Old Trafford|Manchester|England|India|West Indies|India|34 runs
1983-06-11|England v. Sri Lanka|County Ground (Taunton)|Taunton|England|England|Sri Lanka|England|47 runs
1983-06-11|New Zealand v. Pakistan|Edgbaston|Birmingham|England|New Zealand|Pakistan|New Zealand|52 runs
1983-06-11|Australia v. West Indies|Headingley|Leeds|England|Australia|West Indies|West Indies|101 runs
1983-06-11|India v. Zimbabwe|Grace Road|Leicester|England|India|Zimbabwe|India|5 wickets
1983-06-13|England v. Pakistan|Lord's|London|England|England|Pakistan|England|8 wickets
1983-06-13|New Zealand v. Sri Lanka|County Ground (Bristol)|Bristol|England|New Zealand|Sri Lanka|New Zealand|5 wickets
1983-06-13|Australia v. India|Trent Bridge|Nottingham|England|Australia|India|Australia|162 runs
1983-06-13|West Indies v. Zimbabwe|New Road|Worcester|England|West Indies|Zimbabwe|West Indies|8 wickets
1983-06-15|England v. New Zealand|Edgbaston|Birmingham|England|England|New Zealand|New Zealand|2 wickets
1983-06-15|India v. West Indies|Kennington Oval|London|England|India|West Indies|West Indies|66 runs
1983-06-16|Pakistan v. Sri Lanka|Headingley|Leeds|England|Pakistan|Sri Lanka|Pakistan|11 runs
1983-06-16|Australia v. Zimbabwe|County Ground (Southampton)|Southampton|England|Australia|Zimbabwe|Australia|32 runs
1983-06-18|England v. Pakistan|Old Trafford|Manchester|England|England|Pakistan|England|7 wickets
1983-06-18|New Zealand v. Sri Lanka|County Ground (Derby)|Derby|England|New Zealand|Sri Lanka|Sri Lanka|3 wickets
1983-06-18|Australia v. West Indies|Lord's|London|England|Australia|West Indies|West Indies|7 wickets
1983-06-18|India v. Zimbabwe|Nevill Ground|Tunbridge Wells|England|India|Zimbabwe|India|31 runs
1983-06-20|England v. Sri Lanka|Headingley|Leeds|England|England|Sri Lanka|England|9 wickets
1983-06-20|New Zealand v. Pakistan|Trent Bridge|Nottingham|England|New Zealand|Pakistan|Pakistan|11 runs
1983-06-20|Australia v. India|County Ground (Chelmsford)|Chelmsford|England|Australia|India|India|118 runs
1983-06-20|West Indies v. Zimbabwe|Edgbaston|Birmingham|England|West Indies|Zimbabwe|West Indies|10 wickets
1983-06-22|England v. India|Old Trafford|Manchester|England|England|India|India|6 wickets
1983-06-22|Pakistan v. West Indies|Kennington Oval|London|England|Pakistan|West Indies|West Indies|8 wickets
1983-06-25|India v. West Indies|Lord's|London|England|India|West Indies|India|43 runs
1983-09-10|India v. Pakistan|Lal Bahadur Shastri Stadium|Hyderabad (Deccan)|India|India|Pakistan|India|4 wickets
1983-10-02|India v. Pakistan|Sawai Mansingh Stadium|Jaipur|India|India|Pakistan|India|4 wickets
1983-10-13|India v. West Indies|Sher-I-Kashmir Stadium|Srinagar|India|India|West Indies|West Indies|28 runs
1983-11-09|India v. West Indies|Moti Bagh Stadium|Vadodara (Baroda)|India|India|West Indies|West Indies|4 wickets
1983-12-01|India v. West Indies|Nehru Stadium (Indore)|Indore|India|India|West Indies|West Indies|8 wickets
1983-12-07|India v. West Indies|Keenan Stadium|Jamshedpur|India|India|West Indies|West Indies|104 runs
1983-12-17|India v. West Indies|Nehru Stadium (Guwahati)|Guwahati|India|India|West Indies|West Indies|6 wickets
1984-01-08|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|West Indies|27 runs
1984-01-10|Australia v. Pakistan|Sydney Cricket Ground|Sydney|Australia|Australia|Pakistan|Australia|34 runs
1984-01-12|Pakistan v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Pakistan|West Indies|Pakistan|97 runs
1984-01-14|Pakistan v. West Indies|Brisbane Cricket Ground|Brisbane|Australia|Pakistan|West Indies|West Indies|5 wickets
1984-01-17|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|West Indies|28 runs
1984-01-19|Pakistan v. West Indies|Sydney Cricket Ground|Sydney|Australia|Pakistan|West Indies|West Indies|5 wickets
1984-01-21|Australia v. Pakistan|Melbourne Cricket Ground|Melbourne|Australia|Australia|Pakistan|Australia|43 runs
1984-01-22|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|West Indies|26 runs
