NAME|BORN|COUNTRY|TEST_COUNT|ODI_COUNT|T20_COUNT
Makesh, A|04/08/1991|Kuwait|0|0|4
Malan, D J|03/09/1987|England|15|0|5
Malinga, S L||Sri Lanka|30|217|70
Malla, G|16/09/1990|Nepal|0|6|15
Mandeep Singh|18/12/1991|India|0|0|3
Markande, M||India|0|0|1
Markram, A K|04/10/1994|South Africa|17|17|0
Marsh, M R|20/10/1991|Australia|31|53|11
Marsh, S E|09/07/1983|Australia|38|66|15
Maruma, T|19/04/1988|Zimbabwe|1|17|10
Masakadza, H|09/08/1983|Zimbabwe|38|204|58
Masakadza, W P|04/10/1993|Zimbabwe|1|17|9
Mashrafe Mortaza|05/10/1983|Bangladesh|36|205|54
Masvaure, P S|07/10/1988|Zimbabwe|2|2|0
Mathews, A D|02/06/1987|Sri Lanka|80|203|72
Mavuta, B A|04/03/1997|Zimbabwe|2|5|3
Mawoyo, T M K|08/01/1986|Zimbabwe|11|7|0
Maxwell, G J|14/10/1988|Australia|7|95|59
McAuslan, C|01/06/1998|Hong Kong|0|2|0
McBrine, A R|30/04/1993|Ireland|0|37|19
McCarthy, A M|08/06/1987|West Indies|0|0|1
McCarthy, B J|13/09/1992|Ireland|0|24|6
McClenaghan, M J||New Zealand|0|48|29
McCollum, J A|01/08/1995|Ireland|0|1|0
McCoy, O C|04/01/1997|West Indies|0|2|2
McCullum, N L|01/09/1980|New Zealand|0|84|63
McDermott, B R|12/12/1994|Australia|0|0|8
McKechnie, S S|06/08/1991|Hong Kong|0|8|0
Meet Bhavsar|23/06/2004|Kuwait|0|0|4
Mehidy Hasan Miraz|25/10/1997|Bangladesh|19|25|13
Mehran Khan|13/04/1987|Oman|0|0|15
Mendis, B K G|02/02/1995|Sri Lanka|38|61|17
Mendis, B M A J|15/01/1983|Sri Lanka|0|54|22
Mendis, P H K|30/09/1998|Sri Lanka|0|2|1
Mennie, J M|24/12/1988|Australia|1|2|0
Mihusan Hamid|06/06/1991|Maldives|0|0|1
Miller, D A|10/06/1989|South Africa|0|120|67
Miller, N O|16/05/1982|West Indies|1|50|9
Mills, T S|12/08/1992|England|0|0|5
Milne, A F||New Zealand|0|40|21
Mir Hamza|10/09/1992|Pakistan|1|0|0
Mire, S F|21/08/1989|Zimbabwe|2|40|7
Mirwais Ashraf|30/06/1988|Afghanistan|0|46|25
Mishra, A|24/11/1982|India|22|36|10
Mohamed Azzam|31/08/1991|Maldives|0|0|4
Mohamed Mahfooz|09/07/1987|Maldives|0|0|4
Mohamed Rishwan|25/11/1993|Maldives|0|0|4
Mohammad Abbas|10/03/1990|Pakistan|14|0|0
Mohammad Adnan|07/04/1984|Saudi Arabia|0|0|5
Mohammad Amin|02/05/1987|Kuwait|0|0|4
Mohammad Amir|13/04/1992|Pakistan|36|49|42
Mohammad Boota|01/01/1998|United Arab Emirates|0|7|3
Mohammad Hafeez|17/10/1980|Pakistan|55|208|89
Mohammad Irfan|06/06/1982|Pakistan|4|60|20
Mohammad Mithun|13/02/1990|Bangladesh|5|15|13
Mohammad Nabi||Afghanistan|1|111|68
Mohammad Nadeem|04/09/1982|Oman|0|0|9
Mohammad Naveed|03/06/1987|United Arab Emirates|0|35|26
Mohammad Nawaz|21/03/1994|Pakistan|3|14|16
Mohammad Rizwan|01/06/1992|Pakistan|1|27|13
Mohammad Saifuddin|01/11/1996|Bangladesh|0|10|9
Mohammad Sami|24/02/1981|Pakistan|36|87|13
Mohammad Shahzad|31/01/1988|Afghanistan|1|79|65
Mohammad Shahzad|15/08/1979|United Arab Emirates|0|6|20
Mohammed, J N|23/09/1986|West Indies|0|28|9
Mohammed Asghar|29/08/1980|Kuwait|0|0|4
Mohammed Nadeem|27/02/1983|Qatar|0|0|5
Mohammed Qasim|03/08/1991|United Arab Emirates|0|5|3
Mohammed Rizlan|24/07/1985|Qatar|0|0|5
Mohammed Shami|09/03/1990|India|40|63|7
Mohammed Siraj||India|0|1|3
Mominul Haque|29/09/1991|Bangladesh|35|28|6
Mommsen, P L|14/10/1987|Scotland|0|44|24
Moor, P J|02/02/1991|Zimbabwe|8|42|16
Morea, V V|13/03/1983|Papua New Guinea|0|13|5
Morgan, E J G|10/09/1986|England|16|217|80
Morris, C H|30/04/1987|South Africa|4|34|21
Mosaddeck Hossain|10/12/1995|Bangladesh|2|24|8
Mosehle, M|24/04/1990|South Africa|0|0|7
Mpofu, C B|27/11/1985|Zimbabwe|15|80|24
Muawiyath Ghanee|04/08/1989|Maldives|0|0|4
Muhammad Hamayun|17/04/1987|Saudi Arabia|0|0|4
Muhammad Kashif|22/10/1987|Kuwait|0|0|4
Muhammad Nadeem|04/04/1990|Saudi Arabia|0|0|5
Muhammad Naeem|04/09/1982|Saudi Arabia|0|0|5
Muhammad Rafique|18/02/1989|Bahrain|0|0|2
Muhammad Tanveer|01/02/1981|Qatar|0|0|5
Muhammad Usman|13/10/1985|United Arab Emirates|0|23|22
Muhammed Shanil|20/12/1988|United Arab Emirates|0|0|1
Mujeeb Ur Rahman|28/03/2001|Afghanistan|1|28|9
Mukund, A|06/01/1990|India|7|0|0
Mulder, J|11/08/1995|Ireland|0|4|8
Mulder, P W A|19/02/1998|South Africa|1|10|0
Mumba, C T|06/05/1995|Zimbabwe|2|2|0
Munaweera, E M D Y|24/04/1989|Sri Lanka|0|2|13
Munro, C|11/03/1987|New Zealand|1|51|52
Munsey, H G|21/02/1993|Scotland|0|16|26
Murray, R C|30/03/1998|Zimbabwe|0|5|0
Murtagh, T J|02/08/1981|Ireland|1|50|14
Musakanda, T K|31/10/1994|Zimbabwe|1|15|6
Mushfiqur Rahim|01/09/1988|Bangladesh|66|201|77
Mustafizur Rahman|06/09/1995|Bangladesh|13|43|30
Mutombodzi, T C|21/12/1990|Zimbabwe|0|11|5
Mutumbami, R|11/06/1989|Zimbabwe|6|31|14
Muzarabani, B|02/10/1996|Zimbabwe|1|18|6
Muzarabani, T|27/03/1987|Zimbabwe|0|8|9
Myburgh, S J|28/02/1984|Netherlands|0|13|30
Nadeem Ahmed|28/09/1987|Hong Kong|0|25|24
Nair, K K|06/12/1991|India|6|2|0
Najeeb Tarakai|02/02/1991|Afghanistan|0|1|10
Najibullah Zadran|28/02/1993|Afghanistan|0|54|50
Nao, A|09/12/1993|Papua New Guinea|0|12|2
Narine, S P||West Indies|6|65|48
Naseem Khushi|11/08/1982|Oman|0|0|7
Nasir Hossain|30/11/1991|Bangladesh|19|65|31
Nasir Jamal|21/12/1993|Afghanistan|0|16|0
Naveen -ul-Haq|23/09/1999|Afghanistan|0|2|0
Nawazish Jezuli|14/11/2000|Saudi Arabia|0|0|1
Nayeem Hasan|02/12/2000|Bangladesh|2|0|0
Nazmul Hossain Shanto|25/05/1998|Bangladesh|2|3|0
Nazmul Islam|21/03/1992|Bangladesh|1|5|13
Neesham, J D S|17/09/1990|New Zealand|12|49|15
Neill, A|22/03/1994|Scotland|0|0|1
Neser, M G|29/03/1990|Australia|0|2|0
Nevill, P M|13/10/1985|Australia|17|0|9
Ngarava, R|28/12/1997|Zimbabwe|0|9|0
Ngidi, L|29/03/1996|South Africa|4|17|7
Nicholls, H M|15/11/1991|New Zealand|25|41|5
Nizakat Khan|08/07/1992|Hong Kong|0|20|23
Noor Ali Zadran|10/07/1988|Afghanistan|0|47|20
